cluster_id,intensity,rank,uri,energy,valence
0,1,1,spotify:track:2YAhPmNNkwgRuS1nqvUM5o,0.76,0.506
0,1,2,spotify:track:3jh2xnybnKk38bMg7ym5ov,0.711,0.3
0,1,3,spotify:track:3V3Xe2IU7BEJn5eI05z4MW,0.446,0.226
0,1,4,spotify:track:2Jz3f4Z64eeEJYneXXaWIA,0.777,0.4
0,1,5,spotify:track:5IQxchphYLnE9up4m13vGX,0.904,0.369
0,1,6,spotify:track:6Cqo0qJSJlKinxjuflSr9H,0.991,0.191
0,1,7,spotify:track:5fyz50nzC0a96r7UAd2Y5f,0.824,0.334
0,1,8,spotify:track:39HrUxcvKF3jtLz7fUDWXc,0.434,0.195
0,1,9,spotify:track:7xnM4tB4vUU1zCDfXUIQ6h,0.521,0.306
0,1,10,spotify:track:0zGrhvLA4yEal6b5dPyNRe,0.68,0.516
0,1,11,spotify:track:0OKtfSwnr4UprWvWyrqacZ,0.978,0.414
0,1,12,spotify:track:1m1PGRPqCpzd98pkPFDx9o,0.724,0.512
0,1,13,spotify:track:0kUvYvrYM7xJnnJJFwNW1r,0.0839,0.225
0,1,14,spotify:track:7EpJ3O3BX6q5jYZK3B1RTG,0.834,0.543
0,1,15,spotify:track:1iFIMwhN96BwVLK0foflts,0.415,0.339
0,1,16,spotify:track:7uSsHbBFFAnkRQR1rDwP3L,0.865,0.35
0,1,17,spotify:track:1YeEq1cEWsYbCGYPhatHdV,0.535,0.484
0,1,18,spotify:track:6hX9jATESvv2cdXQMRU4m8,0.875,0.18
0,1,19,spotify:track:6QXP9viX9hloVeCEjNEOZP,0.665,0.28
0,1,20,spotify:track:5uHE54WI3SNA5AxigwZNiv,0.39,0.357
0,5,1,spotify:track:2ungZO5L0wwm0mpD1GfNAW,0.837,0.553
0,5,2,spotify:track:1BHMpKJngIU4iWpzZIj7hm,0.516,0.86
0,5,3,spotify:track:40w0pA9BPBYkKt8XdMyykF,0.953,0.128
0,5,4,spotify:track:4EnSchPRIh9xWOb2SIrRQU,0.958,0.203
0,5,5,spotify:track:6qGIp3SdhIzW8A0MWeJEcW,0.32,0.0828
0,5,6,spotify:track:4iKheLp0T1ui99iiauwBqR,0.169,0.336
0,5,7,spotify:track:1RBQR8HjZUPLikoIjD67Ep,0.94,0.451
0,5,8,spotify:track:2gvOZDdaKKosOXQwtS4gfF,0.698,0.394
0,5,9,spotify:track:7nkKsGpRebhFq93Gy6KUff,0.875,0.405
0,5,10,spotify:track:4GsBUYbxXo1kqs3sfjPcxc,0.787,0.832
0,5,11,spotify:track:2DAmhFxekgHVKags01Zl1h,0.545,0.0497
0,5,12,spotify:track:4hSFOewVQJ76YckdP0sx85,0.865,0.342
0,5,13,spotify:track:3hSfp5mSf8DDxTD1SzhSVu,0.877,0.633
0,5,14,spotify:track:4yVgErpbtjYcHSlMQHrnpc,0.964,0.279
0,5,15,spotify:track:5Ycplzm1BPZYMQs9iMxNsB,0.992,0.389
0,5,16,spotify:track:5ovAmYzYLeEmOX6P3bmlzV,0.896,0.0723
0,5,17,spotify:track:6E4PQg9YaybIDTyAcBOwEx,0.785,0.516
0,5,18,spotify:track:3LvtON2oju2qnhDp4clu7L,0.775,0.296
0,5,19,spotify:track:0tgWh3LVoyMn82HONia0Fl,0.156,0.652
0,5,20,spotify:track:7kNSWbV2gk2omMpRPlqlqI,0.754,0.637
0,10,1,spotify:track:02jLfqc9gMo8PkHEGHY3OT,0.576,0.455
0,10,2,spotify:track:0IEHa6zoxOfQx7jDpcYQ1l,0.625,0.594
0,10,3,spotify:track:1BqVcXvaQ2fMf8fr9yWyrY,0.41,0.392
0,10,4,spotify:track:01i0a6vCc4rtR9MNpdPHPf,0.318,0.491
0,10,5,spotify:track:3nA9R4YbuilAXhmg2YYJaJ,0.665,0.325
0,10,6,spotify:track:3e645nY8BjBWj7cmvX482d,0.742,0.193
0,10,7,spotify:track:2rd9ETlulTbz6BYZcdvIE1,0.623,0.413
0,10,8,spotify:track:446xkSN7Ni7l41y4tOWATu,0.681,0.331
0,10,9,spotify:track:1ZxwWrMNukjS8sb9TZ0HjU,0.673,0.428
0,10,10,spotify:track:0Bs0hUYxz7REyIHH7tRhL2,0.831,0.281
0,10,11,spotify:track:6a2GFiWodKXdHDFPcaCRdL,0.455,0.481
0,10,12,spotify:track:6gUJHd24J2X6iLSVTxUTnf,0.73,0.285
0,10,13,spotify:track:58tXyAVVFfLD9mVkWhLCxO,0.229,0.0351
0,10,14,spotify:track:49bOS8k7cx7JBu3TjrWU1w,0.938,0.286
0,10,15,spotify:track:4jH8dxtKxBP9YZcLFGkw09,0.989,0.605
0,10,16,spotify:track:1Iuo5rSPfXDVKxCyl2ePbW,0.883,0.0786
0,10,17,spotify:track:4bZuD1h54994RhiEJvdVHt,0.833,0.554
0,10,18,spotify:track:49TGvdrSIBq8mwrzZPinfd,0.62,0.573
0,10,19,spotify:track:5MVQb9HznqX5Xb0oVyh2er,0.902,0.57
0,10,20,spotify:track:3ggkhQAdAMUQe7Bz6kmYzr,0.133,0.448
1,1,1,spotify:track:2vtLNu4chmFJA4PDRXHLti,0.847,0.631
1,1,2,spotify:track:2xGRrcajSvRlBbAXds2l7u,0.629,0.688
1,1,3,spotify:track:5eFCFpmDbqGqpdOVE9CXCh,0.742,0.698
1,1,4,spotify:track:7dH3zcS8N2GlVwi9arQKEN,0.799,0.951
1,1,5,spotify:track:6uxGwZV2t6c7Nq2oy1MHvU,0.67,0.803
1,1,6,spotify:track:3EbQ3JmfUYw1FsTNzaGrp9,0.776,0.647
